year,indicator,BRA,CHN,DEU,FRA,GBR,IND,ITA,JPN,NGA,USA
2021.0,child_mortality,14.7,7.0,3.7,4.3,4.4,30.6,2.9,2.4,111.3,6.5
2021.0,gdp_per_capita_usd,7972.5366498646,12887.4357242941,52265.6541620571,43725.0999521245,46926.475736105,2239.61384367482,36852.5425414951,40094.5599795288,2017.27486481527,71307.4017277218
2021.0,health_exp_pc_usd,768.27075195,670.25897217,6638.20800781,5376.74560547,5612.04931641,75.54971313,3399.85766602,4482.61816406,81.87322235,11999.09082031
2021.0,life_expectancy_years,73.038,78.117,80.790243902439,82.3243902439024,80.6473170731707,67.282,82.6463414634146,84.4456097560976,53.455,76.3292682926829
2021.0,urban_population_pct,87.317,62.512,77.544,81.242,84.152,35.393,71.346,91.867,52.746,82.873
2022.0,child_mortality,14.6,6.6,3.7,4.3,4.5,29.1,2.8,2.4,108.1,6.5
2022.0,gdp_per_capita_usd,9281.33334441234,12970.6056414327,49686.1154582583,41082.8119320747,46062.9914079698,2347.44829434623,35653.9042103495,34065.6438962526,2139.37478476974,77860.9112908848
2022.0,health_exp_pc_usd,848.57122803,672.45159912,6182.34375,4865.17822266,5035.6171875,79.51509857,3134.68066406,3889.35717773,90.92185211,12434.43359375
2022.0,life_expectancy_years,74.872,78.202,80.6080487804878,82.1292682926829,81.0112195121951,71.698,82.7,83.9963414634146,54.079,77.4341463414634
2022.0,urban_population_pct,87.555,63.56,77.648,81.509,84.398,35.872,71.657,91.955,53.521,83.084
2023.0,child_mortality,14.4,6.2,3.7,4.3,4.5,27.7,2.8,2.4,104.9,6.5
2023.0,gdp_per_capita_usd,10377.5892792557,12951.1782397043,53940.4073447462,44690.9345395117,49200.8101526146,2530.12031278204,39065.4244365633,33836.1756271617,1596.63696129001,82304.6204272866
2023.0,health_exp_pc_usd,,,6232.59130859,,5366.77685547,,3228.43505859,,,
2023.0,life_expectancy_years,75.848,77.953,80.5414634146342,82.9292682926829,81.2380975609756,72.003,83.7,84.0412195121951,54.462,78.3853658536585
2023.0,urban_population_pct,87.788,64.57,77.765,81.777,84.642,36.364,71.973,92.043,54.283,83.298
